industry,baseline_tariff,post_avg_tariff,tariff_shock,china_share_jan25
Fabricated_Metal,0.06692439353232629,0.24072972197934817,0.17380532844702187,0.2850537115098575
Textile_Product_Mills,0.0888110426010187,0.23322631024706503,0.14441526764604634,0.4912330056939987
Furniture,0.05747669908780697,0.16811799108011366,0.11064129199230668,0.301858585521174
Misc,0.018773800847103242,0.1212111479924386,0.10243734714533535,0.3256614404859529
Apparel,0.1527660167059695,0.25459057197026547,0.10182455526429596,0.2290851294359888
Transportation_Equipment,0.019366292727122356,0.12020226547052223,0.10083597274339988,0.0411161682492158
Machinery,0.03098626115321895,0.12976486715046137,0.09877860599724242,0.1525171717355032
Electrical_Equipment,0.05006114551024413,0.14854277045472417,0.09848162494448004,0.319477771729601
Plastics_Rubber,0.05251444004516669,0.14603470557226864,0.09352026552710194,0.273502160194187
Nonmetallic_Mineral,0.0639603123342104,0.15031850200749242,0.08635818967328202,0.2693110938443358
Textile_Mills,0.06787793022773302,0.15368446437592373,0.08580653414819071,0.2030936659688253
Beverage_Tobacco_Leather,0.07140218672025235,0.15600566737862645,0.0846034806583741,0.1962321182984723
Primary_Metal,0.005325302798670808,0.07532287258297561,0.0699975697843048,0.0073642813017333
Paper,0.023513667048866725,0.07931000801211303,0.05579634096324631,0.1190001004275027
Food,0.02595366833052085,0.07753108243620305,0.0515774141056822,0.0459271797978019
Printing,0.020697608015377043,0.06397500512500877,0.04327739710963173,0.3997992926863652
Wood,0.02483908531341846,0.05970292181885044,0.034863836505431976,0.0956442850349272
Computer_Electronic,0.007677529595204318,0.03614022684452451,0.02846269724932019,0.2196660025752927
Chemical,0.009433987965705439,0.0276362544629651,0.01820226649725966,0.0674550082626534
Petroleum_Coal,0.003792196740840521,0.0035345022008615988,-0.0002576945399789224,0.008010649180994
